Actual,Predicted,Confidence,Category
1,0,1.0,FN
1,0,1.0,FN
1,0,0.9999961024153613,FN
1,0,0.9999074843422924,FN
1,0,0.9999961024153613,FN
1,0,0.9999333554905192,FN
1,0,0.9999883718797458,FN
1,0,0.9999916679518459,FN
1,0,0.9999227147669498,FN
1,0,0.9999427729531857,FN
1,0,0.9999521399956877,FN
1,0,0.9999333554905192,FN
1,0,0.9999521399956877,FN
1,0,0.9999333554905192,FN
1,0,0.9999883718797458,FN
1,0,0.9999227147669498,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9999227147669498,FN
1,0,0.9999521399956877,FN
1,0,0.9999227147669498,FN
1,0,0.9999883718797458,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9999333554905192,FN
1,0,0.9999521399956877,FN
1,0,0.9988627842845412,FN
1,0,0.9999521399956877,FN
1,0,0.9999993233773138,FN
1,0,0.9999883718797458,FN
1,0,0.9999883718797458,FN
1,0,0.9994383238528864,FN
1,0,0.9999961024153613,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9982082896701456,FN
1,0,0.9999521399956877,FN
1,0,0.9987055272392064,FN
1,0,0.9999521399956877,FN
1,0,0.9999899059146473,FN
1,0,0.9999883718797458,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.9999883718797458,FN
1,0,0.9999074843422924,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.9999993233773138,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999883718797458,FN
1,0,0.9999899059146473,FN
1,0,0.9999521399956877,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999899059146473,FN
1,0,0.9999521399956877,FN
1,0,0.9999899059146473,FN
1,0,0.9999883718797458,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999883718797458,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.9999333554905192,FN
1,0,0.9999521399956877,FN
1,0,0.9999640347664206,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999227147669498,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999883718797458,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999961024153613,FN
1,0,0.9999227147669498,FN
1,0,0.9999883718797458,FN
1,0,0.999979265191078,FN
1,0,0.9999079859434776,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.9994383238528864,FN
1,0,0.9999521399956877,FN
1,0,0.9999899059146473,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999899059146473,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999899059146473,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999883718797458,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999899059146473,FN
1,0,0.9999883718797458,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999883718797458,FN
1,0,0.999979265191078,FN
1,0,0.9999521399956877,FN
1,0,0.9999074843422924,FN
1,0,0.9999521399956877,FN
1,0,0.999979265191078,FN
1,0,0.9999883718797458,FN
1,0,0.9985185185185185,FN
1,0,0.999979265191078,FN
1,0,0.9999993233773138,FN
1,0,0.9999521399956877,FN
1,0,0.9999993233773138,FN
1,0,0.9999883718797458,FN
